分类: 📺央视频道, 名称: CETV3, 总数: 2, 有效: 0, 有效率: 0.00%, IPv4: 2, IPv6: 0, 最小延迟: 162 ms, 最高速率: 3.94 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV4, 总数: 42, 有效: 5, 有效率: 11.90%, IPv4: 42, IPv6: 0, 最小延迟: 12 ms, 最高速率: 12.42 M/s, 平均速率: 3.52 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广东卫视, 总数: 235, 有效: 33, 有效率: 14.04%, IPv4: 235, IPv6: 0, 最小延迟: 85 ms, 最高速率: 142.09 M/s, 平均速率: 27.47 M/s, 最高分辨率: 3840x2160, 平均帧率: 35.83, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 香港卫视, 总数: 8, 有效: 0, 有效率: 0.00%, IPv4: 8, IPv6: 0, 最小延迟: 32 ms, 最高速率: 4.02 M/s, 平均速率: 0.00 M/s, 最高分辨率: 19x24, 平均帧率: 25.00, 视频编解码器: rawvideo, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 浙江卫视, 总数: 220, 有效: 20, 有效率: 9.09%, IPv4: 220, IPv6: 0, 最小延迟: 31 ms, 最高速率: 58.81 M/s, 平均速率: 3.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.92, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖南卫视, 总数: 218, 有效: 24, 有效率: 11.01%, IPv4: 218, IPv6: 0, 最小延迟: 24 ms, 最高速率: 126.99 M/s, 平均速率: 14.67 M/s, 最高分辨率: 3840x2160, 平均帧率: 35.42, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 北京卫视, 总数: 238, 有效: 26, 有效率: 10.92%, IPv4: 238, IPv6: 0, 最小延迟: 88 ms, 最高速率: 84.39 M/s, 平均速率: 11.21 M/s, 最高分辨率: 3840x2160, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖北卫视, 总数: 215, 有效: 15, 有效率: 6.98%, IPv4: 215, IPv6: 0, 最小延迟: 160 ms, 最高速率: 13.97 M/s, 平均速率: 4.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 黑龙江卫视, 总数: 162, 有效: 11, 有效率: 6.79%, IPv4: 162, IPv6: 0, 最小延迟: 160 ms, 最高速率: 18.39 M/s, 平均速率: 4.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.70, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 安徽卫视, 总数: 193, 有效: 21, 有效率: 10.88%, IPv4: 193, IPv6: 0, 最小延迟: 161 ms, 最高速率: 77.05 M/s, 平均速率: 8.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.29, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 重庆卫视, 总数: 215, 有效: 17, 有效率: 7.91%, IPv4: 215, IPv6: 0, 最小延迟: 32 ms, 最高速率: 67.12 M/s, 平均速率: 2.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东方卫视, 总数: 210, 有效: 19, 有效率: 9.05%, IPv4: 210, IPv6: 0, 最小延迟: 57 ms, 最高速率: 61.40 M/s, 平均速率: 5.06 M/s, 最高分辨率: 3840x2160, 平均帧率: 35.42, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东南卫视, 总数: 194, 有效: 17, 有效率: 8.76%, IPv4: 194, IPv6: 0, 最小延迟: 32 ms, 最高速率: 60.23 M/s, 平均速率: 4.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.48, 视频编解码器: h264, 音频编解码器: mp2
